# Query Description
# Type of request:                 Extract data from a table
# Name of the selected table:      a007
# Description of the table:        Distances
# Description of each column
# $objname: ------------ Name of object
# $j2000: -------------- J2000 coordinates
# $field[modulus]: ----- Distance modulus
# $field[distance]: ---- Linear distance (Mpc)
# modc: ---------------- Distance modulus corrected to standard system
# $link[method,method]:  Distance determination method
# $link[iref,iref]: ---- Code of Bib.Ref.
# $link[bibref,bibcode]:  Bibliographic Reference
# $link[calib,calib_bibcode]:  Calibration relation
#-------- ------ ------- --------- ------ -------- -------- ---------- ------ -------- ---- -------------------- ---------------- --------------------- --------------------------
$objname $j2000 modulus e_modulus flimit fquality distance e_distance flimit fquality modc $link[method,method] $link[iref,iref] $link[bibref,bibcode] $link[calib,calib_bibcode]
#-------- ------ ------- --------- ------ -------- -------- ---------- ------ -------- ---- -------------------- ---------------- --------------------- --------------------------
NGC0055	J001453.6-391148	26.604	0.03			2.09314839169792	0.0291192657672941			26.6656282280871	TRGB      	    51280	Dalcanton+2009         	TRGB:Girardi+2008              
NGC0055	J001453.6-391148	26.622	0.03			2.11057091076008	0.0293616427363226			26.6836278771349	TRGB      	    51280	Dalcanton+2009         	TRGB:Girardi+2008              
NGC0055	J001453.6-391148	26.629	0.05			2.11738553579062	0.0493194836759732			26.6906278466174	TRGB      	    51280	Dalcanton+2009         	TRGB:Girardi+2008              
NGC0055	J001453.6-391148	26.68	0.03			2.16770440946591	0.030156467192926			26.7011088851095	TRGB      	    51372	Tully+2006             	TRGB:I=-4.05                   
NGC0055	J001453.6-391148	26.62	0.0299997			2.10862896487872	0.0293346269554737			26.6225482700595	TRGB      	    52052	Jacobs,+2009           	TRGB:Rizzi+2007                
NGC0055	J001453.6-391148	26.64	0.1			2.12813844781126	0.100296466573121			26.6399993896484	TRGB      	    51424	Tikhonov+2005          	                               
NGC0055	J001453.6-391148	26.58	0.11			2.07014127605733	0.107569031887548			26.5799999237061	TRGB      	    51577	Tanaka+2011            	                               
NGC0055	J001453.6-391148	26.62	0.0299997		p	2.10862896487872	0.0293346269554737		p	26.6225482700595	TRGB      	    51764	Jacobs+2009            	TRGB:Rizzi+2007                
NGC0055	J001453.6-391148	26.41			c	1.91425579050763			c	26.4099998474121	Cepheids  	    52014	Tammann+2008           	                               
NGC0055	J001453.6-391148	26.2764			c	1.80000070234163			c	26.2763633728027	TF        	    51160	Karachentsev+2004      	                               
NGC0055	J001453.6-391148	26.7			c	2.1877623926123			c	26.7000007629395	TRGB      	    51600	Tully+2008             	TRGB:unknown                   
NGC0055	J001453.6-391148	26.64			c	2.12813844781126			c	26.6399993896484	TRGB      	    52014	Tammann+2008           	                               
NGC0059	J001525.1-212640	28.21	0.07			4.385305128835	0.143668124217511			28.2099990844727	SBF       	    51377	Jerjen+1998            	                               
NGC0059	J001525.1-212640	28.45	0.0299997			4.89778991450601	0.0681322531413189			28.4525481937656	TRGB      	    52052	Jacobs,+2009           	TRGB:Rizzi+2007                
NGC0059	J001525.1-212640	28.6214			c	5.30000123084341			c	28.6213798522949	SBF       	    51160	Karachentsev+2004      	                               
ESO410-005	J001531.2-321050	26.33	0.07			1.84501535435549	0.0604450288692171			26.4185977453683	RRLyrae   	    51824	Yang+2014              	RRLyrae:Chaboyer1999           
ESO410-005	J001531.2-321050	26.38	0.13			1.88799061942316	0.116479858560845			26.3799991607666	TRGB      	    51824	Yang+2014              	TRGB:Bellazzini+2004           
ESO410-005	J001531.2-321050	26.514	0.1			2.00816774773896	0.0946423996011481			26.5756280754992	TRGB      	    51280	Dalcanton+2009         	TRGB:Girardi+2008              
ESO410-005	J001531.2-321050	26.42	0.2			1.92309179647734	0.185537168401384			26.4411086562276	TRGB      	    51376	Karachentsev+2000      	TRGB:I=-4.05                   
ESO410-005	J001531.2-321050	26.44	0.05			1.9408863549394	0.0452083530756768			26.4611091139913	TRGB      	    51372	Tully+2006             	TRGB:I=-4.05                   
ESO410-005	J001531.2-321050	26.27				1.7947340051767				26.2789946772646	TRGB      	    51926	Tikhonov2013           	TRGB:Lee+1993                  
ESO410-005	J001531.2-321050	26.43	0.0349998			1.93196858853315	0.0313918262668993			26.4325477360019	TRGB      	    52052	Jacobs,+2009           	TRGB:Rizzi+2007                
ESO410-005	J001531.2-321050	26.44	0.02			1.9408863549394	0.0179592132702446			26.4425479648837	TRGB      	    52050	Lee+2016               	TRGB:Rizzi+2007                
ESO410-005	J001531.2-321050	26.43	0.0349998		p	1.93196858853315	0.0313918262668993		p	26.4325477360019	TRGB      	    51764	Jacobs+2009            	TRGB:Rizzi+2007                
ESO410-005	J001531.2-321050	26.4165			c	1.91999970828796			c	26.4376143935323	TRGB      	    51160	Karachentsev+2004      	TRGB:I=-4.05                   
ESO410-005	J001531.2-321050	26.39			c	1.89670538809028			c	26.3899993896484	TRGB      	    51600	Tully+2008             	TRGB:unknown                   
ESO410-005	J001531.2-321050	26.43			c	1.93196858853315			c	26.4300003051758	TRGB      	    52014	Tammann+2008           	                               
NGC0063	J001745.5+112701	31.36	0.33			18.7068266617213	3.0702764177275			31.3039557059652	SBF       	    50006	Tonry+2001             	SBF:Tonry+2000                 
NGC0063	J001745.5+112701	31.36			c	18.7068266617213			c	31.3039557059652	SBF       	    51600	Tully+2008             	SBF:Tonry+2000                 
PGC001288	J002000.1-062002	32.25	0.31			28.1838293126446	4.32492098520253			32.25	SNIa      	    51920	Amanullah+2010         	SNIa:Guy+2007                  
PGC001288	J002000.1-062002	33.468	0.143			49.3855279529317	3.36174509584285			33.1832770688659	SNIa      	    51915	Silverman+2012         	SNIa:Jha+2007:RV=1.7           
